"","workerid","rt","content","subjectGender","speakerGender","verb","utterance","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes","nResponse"
"25",0,5533,"Todd played football in high school",NA,"F","MC","Did Todd play football in high school?","control3","control","No",26,55,"english","Yes","y","m","yes",3.92585,0
"26",0,5549,"Madison had a baby",NA,"F","MC","Did Madison have a baby?","control5","control","No",27,55,"english","Yes","y","m","yes",3.92585,0
"27",1,7911,"Mary is pregnant","M","F","see","Did Patrick see that Mary is pregnant?","1","NonProj","Yes",2,39,"English","Yes","y","m","",7.15313333333333,1
"28",1,4897,"Charley speaks Spanish","F","F","prove","Did Anna prove that Charley speaks Spanish?","20","C","No",3,39,"English","Yes","y","m","",7.15313333333333,0
"29",1,4811,"Sophia got a tattoo","M","F","discover","Did Ben discover that Sophia got a tattoo?","5","NonProj","Yes",4,39,"English","Yes","y","m","",7.15313333333333,1
"30",1,3960,"Josie went on vacation to France","M","M","hear","Did Scott hear that Josie went on vacation to France?","2","C","Yes",5,39,"English","Yes","y","m","",7.15313333333333,1
"31",1,3379,"Julian dances salsa","F","M","confess","Did Kathleen confess that Julian dances salsa?","18","C","Yes",6,39,"English","Yes","y","m","",7.15313333333333,1
"32",1,5860,"Isabella ate a steak on Sunday","M","F","demonstrate","Did Kevin demonstrate that Isabella ate a steak on Sunday?","7","C","Yes",7,39,"English","Yes","y","m","",7.15313333333333,1
"33",1,5088,"Owen shoveled snow last winter","F","M","be_right","Is Cynthia right that Owen shoveled snow last winter?","17","C","No",8,39,"English","Yes","y","m","",7.15313333333333,0
"34",1,9431,"Todd played football in high school",NA,"M","MC","Did Todd play football in high school?","control3","control","No",9,39,"English","Yes","y","m","",7.15313333333333,0
"35",1,7896,"Zoe calculated the tip","M","F","think","Does Tim think that Zoe calculated the tip?","10","NonProj","No",10,39,"English","Yes","y","m","",7.15313333333333,0
"36",1,9310,"Tony had a drink last night","F","F","pretend","Did Rebecca pretend that Tony had a drink last night?","15","NonProj","No",11,39,"English","Yes","y","m","",7.15313333333333,0
"37",1,3164,"Mary&quotechars aunt is sick",NA,"F","MC","Is Mary&quotechars aunt sick?","control2","control","No",12,39,"English","Yes","y","m","",7.15313333333333,0
"38",1,4027,"Vanessa is good at math",NA,"M","MC","Is Vanessa good at math?","control4","control","No",13,39,"English","Yes","y","m","",7.15313333333333,0
"39",1,4651,"Olivia sleeps until noon","M","M","suggest","Did Jerry suggest that Olivia sleeps until noon?","4","C","No",14,39,"English","Yes","y","m","",7.15313333333333,0
"40",1,123233,"Emma studied on Saturday morning","M","M","admit","Did Justin admit that Emma studied on Saturday morning?","3","C","Yes",15,39,"English","Yes","y","m","",7.15313333333333,1
"41",1,3851,"Mia drank 2 cocktails last night","M","M","acknowledge","Did Ray acknowledge that Mia drank 2 cocktails last night?","6","C","Yes",16,39,"English","Yes","y","m","",7.15313333333333,1
"42",1,23463,"Hendrick&quotechars car was expensive",NA,"F","MC","Was Hendrick&quotechars car expensive?","control6","control","No",17,39,"English","Yes","y","m","",7.15313333333333,0
"43",1,6037,"Jayden rented a car","F","F","say","Did Stephanie say that Jayden rented a car?","14","C","Yes",18,39,"English","Yes","y","m","",7.15313333333333,1
"44",1,3682,"Danny ate the last cupcake","F","M","confirm","Did Amanda confirm that Danny ate the last cupcake?","11","C","No",19,39,"English","Yes","y","m","",7.15313333333333,0
"45",1,6592,"Josh learned to ride a bike yesterday","F","M","be_annoyed","Is Sharon annoyed that Josh learned to ride a bike yesterday?","16","NonProj","Yes",20,39,"English","Yes","y","m","",7.15313333333333,1
"46",1,2776,"Madison had a baby",NA,"M","MC","Did Madison have a baby?","control5","control","No",21,39,"English","Yes","y","m","",7.15313333333333,0
"47",1,53303,"Emily bought a car yesterday","M","M","know","Does Brian know that Emily bought a car yesterday?","8","NonProj","Yes",22,39,"English","Yes","y","m","",7.15313333333333,1
"48",1,3879,"Grace visited her sister","M","M","announce","Did Andrew announce that Grace visited her sister?","9","C","Yes",23,39,"English","Yes","y","m","",7.15313333333333,1
"49",1,4077,"Zack is coming to the meeting tomorrow",NA,"M","MC","Is Zack coming to the meeting tomorrow?","control1","control","No",24,39,"English","Yes","y","m","",7.15313333333333,0
"50",1,67022,"Frank got a cat","F","M","reveal","Did Melissa reveal that Frank got a cat?","12","NonProj","Yes",25,39,"English","Yes","y","m","",7.15313333333333,1
"51",1,53680,"Jackson ran 10 miles","F","M","establish","Did Laura establish that Jackson ran 10 miles?","13","NonProj","No",26,39,"English","Yes","y","m","",7.15313333333333,0
"52",1,3208,"Jon walks to work","F","F","inform","Did Ruth inform Sam that Jon walks to work?","19","C","Yes",27,39,"English","Yes","y","m","",7.15313333333333,1
"53",2,7105,"Danny ate the last cupcake","F","F","see","Did Amanda see that Danny ate the last cupcake?","11","NonProj","Yes",2,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"54",2,2986,"Jackson ran 10 miles","F","F","demonstrate","Did Laura demonstrate that Jackson ran 10 miles?","13","C","No",3,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"55",2,3075,"Sophia got a tattoo","M","F","acknowledge","Did Ben acknowledge that Sophia got a tattoo?","5","C","Yes",4,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"56",2,3675,"Josie went on vacation to France","M","F","prove","Did Scott prove that Josie went on vacation to France?","2","C","No",5,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"57",2,5436,"Tony had a drink last night","F","F","hear","Did Rebecca hear that Tony had a drink last night?","15","C","Yes",6,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"58",2,3500,"Jon walks to work","F","M","announce","Did Ruth announce that Jon walks to work?","19","C","Yes",7,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"59",2,2330,"Hendrick&quotechars car was expensive",NA,"F","MC","Was Hendrick&quotechars car expensive?","control6","control","No",8,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"60",2,3064,"Todd played football in high school",NA,"M","MC","Did Todd play football in high school?","control3","control","No",9,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"61",2,5980,"Josh learned to ride a bike yesterday","F","F","discover","Did Sharon discover that Josh learned to ride a bike yesterday?","16","NonProj","Yes",10,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"62",2,4398,"Olivia sleeps until noon","M","M","confess","Did Jerry confess that Olivia sleeps until noon?","4","C","Yes",11,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"63",2,2910,"Isabella ate a steak on Sunday","M","F","be_annoyed","Is Kevin annoyed that Isabella ate a steak on Sunday?","7","NonProj","Yes",12,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"64",2,4916,"Julian dances salsa","F","F","pretend","Did Kathleen pretend that Julian dances salsa?","18","NonProj","No",13,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"65",2,4048,"Emily bought a car yesterday","M","F","inform","Did Brian inform Sam that Emily bought a car yesterday?","8","C","Yes",14,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"66",2,3686,"Frank got a cat","F","F","say","Did Melissa say that Frank got a cat?","12","C","No",15,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"67",2,2792,"Vanessa is good at math",NA,"F","MC","Is Vanessa good at math?","control4","control","No",16,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"68",2,2743,"Madison had a baby",NA,"F","MC","Did Madison have a baby?","control5","control","No",17,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"69",2,2209,"Mary&quotechars aunt is sick",NA,"F","MC","Is Mary&quotechars aunt sick?","control2","control","No",18,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"70",2,2456,"Zack is coming to the meeting tomorrow",NA,"F","MC","Is Zack coming to the meeting tomorrow?","control1","control","No",19,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"71",2,5877,"Mia drank 2 cocktails last night","M","F","confirm","Did Ray confirm that Mia drank 2 cocktails last night?","6","C","No",20,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"72",2,3597,"Owen shoveled snow last winter","F","F","establish","Did Cynthia establish that Owen shoveled snow last winter?","17","NonProj","No",21,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"73",2,3856,"Emma studied on Saturday morning","M","M","reveal","Did Justin reveal that Emma studied on Saturday morning?","3","NonProj","Yes",22,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"74",2,2168,"Charley speaks Spanish","F","M","know","Does Anna know that Charley speaks Spanish?","20","NonProj","Yes",23,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"75",2,3445,"Jayden rented a car","F","M","admit","Did Stephanie admit that Jayden rented a car?","14","C","Yes",24,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"76",2,10746,"Zoe calculated the tip","M","F","be_right","Is Tim right that Zoe calculated the tip?","10","C","No",25,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"77",2,5768,"Grace visited her sister","M","M","think","Does Andrew think that Grace visited her sister?","9","NonProj","Yes",26,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,1
"78",2,2957,"Mary is pregnant","M","M","suggest","Did Patrick suggest that Mary is pregnant?","1","C","No",27,31,"English","Yes","y","f","I think $1 is a fair price for this hit.  I don&quotechart have any other comments.",1.76205,0
"79",3,4262,"Julian dances salsa","F","F","see","Did Kathleen see that Julian dances salsa?","18","NonProj","Yes",2,28,"English","Yes","y","m","",1.24481666666667,1
"80",3,1835,"Hendrick&quotechars car was expensive",NA,"F","MC","Was Hendrick&quotechars car expensive?","control6","control","No",3,28,"English","Yes","y","m","",1.24481666666667,0
"81",3,1540,"Madison had a baby",NA,"F","MC","Did Madison have a baby?","control5","control","No",4,28,"English","Yes","y","m","",1.24481666666667,0
"82",3,2225,"Olivia sleeps until noon","M","F","acknowledge","Did Jerry acknowledge that Olivia sleeps until noon?","4","C","Yes",5,28,"English","Yes","y","m","",1.24481666666667,1
"83",3,2521,"Charley speaks Spanish","F","M","suggest","Did Anna suggest that Charley speaks Spanish?","20","C","No",6,28,"English","Yes","y","m","",1.24481666666667,0
"84",3,1698,"Todd played football in high school",NA,"F","MC","Did Todd play football in high school?","control3","control","No",7,28,"English","Yes","y","m","",1.24481666666667,0
"85",3,3836,"Emily bought a car yesterday","M","M","confirm","Did Brian confirm that Emily bought a car yesterday?","8","C","No",8,28,"English","Yes","y","m","",1.24481666666667,0
"86",3,2519,"Zoe calculated the tip","M","M","prove","Did Tim prove that Zoe calculated the tip?","10","C","No",9,28,"English","Yes","y","m","",1.24481666666667,0
"87",3,3640,"Tony had a drink last night","F","F","demonstrate","Did Rebecca demonstrate that Tony had a drink last night?","15","C","No",10,28,"English","Yes","y","m","",1.24481666666667,0
"88",3,3663,"Danny ate the last cupcake","F","M","think","Does Amanda think that Danny ate the last cupcake?","11","NonProj","No",11,28,"English","Yes","y","m","",1.24481666666667,0
"89",3,1912,"Zack is coming to the meeting tomorrow",NA,"M","MC","Is Zack coming to the meeting tomorrow?","control1","control","No",12,28,"English","Yes","y","m","",1.24481666666667,0
"90",3,2823,"Isabella ate a steak on Sunday","M","F","say","Did Kevin say that Isabella ate a steak on Sunday?","7","C","No",13,28,"English","Yes","y","m","",1.24481666666667,0
"91",3,1448,"Mary&quotechars aunt is sick",NA,"F","MC","Is Mary&quotechars aunt sick?","control2","control","No",14,28,"English","Yes","y","m","",1.24481666666667,0
"92",3,3064,"Mia drank 2 cocktails last night","M","F","pretend","Did Ray pretend that Mia drank 2 cocktails last night?","6","NonProj","No",15,28,"English","Yes","y","m","",1.24481666666667,0
"93",3,2064,"Josh learned to ride a bike yesterday","F","F","confess","Did Sharon confess that Josh learned to ride a bike yesterday?","16","C","Yes",16,28,"English","Yes","y","m","",1.24481666666667,1
"94",3,1384,"Owen shoveled snow last winter","F","F","admit","Did Cynthia admit that Owen shoveled snow last winter?","17","C","Yes",17,28,"English","Yes","y","m","",1.24481666666667,1
"95",3,1408,"Frank got a cat","F","F","be_annoyed","Is Melissa annoyed that Frank got a cat?","12","NonProj","Yes",18,28,"English","Yes","y","m","",1.24481666666667,1
"96",3,2280,"Sophia got a tattoo","M","F","establish","Did Ben establish that Sophia got a tattoo?","5","NonProj","No",19,28,"English","Yes","y","m","",1.24481666666667,0
"97",3,3780,"Emma studied on Saturday morning","M","M","be_right","Is Justin right that Emma studied on Saturday morning?","3","C","No",20,28,"English","Yes","y","m","",1.24481666666667,0
"98",3,2140,"Josie went on vacation to France","M","F","discover","Did Scott discover that Josie went on vacation to France?","2","NonProj","Yes",21,28,"English","Yes","y","m","",1.24481666666667,1
"99",3,2462,"Mary is pregnant","M","M","inform","Did Patrick inform Sam that Mary is pregnant?","1","C","Yes",22,28,"English","Yes","y","m","",1.24481666666667,1
"100",3,8479,"Grace visited her sister","M","F","hear","Did Andrew hear that Grace visited her sister?","9","C","Yes",23,28,"English","Yes","y","m","",1.24481666666667,1
"101",3,4624,"Jackson ran 10 miles","F","M","announce","Did Laura announce that Jackson ran 10 miles?","13","C","Yes",24,28,"English","Yes","y","m","",1.24481666666667,1
"102",3,1928,"Vanessa is good at math",NA,"M","MC","Is Vanessa good at math?","control4","control","No",25,28,"English","Yes","y","m","",1.24481666666667,0
"103",3,4729,"Jayden rented a car","F","F","know","Does Stephanie know that Jayden rented a car?","14","NonProj","Yes",26,28,"English","Yes","y","m","",1.24481666666667,1
"104",3,2425,"Jon walks to work","F","M","reveal","Did Ruth reveal that Jon walks to work?","19","NonProj","Yes",27,28,"English","Yes","y","m","",1.24481666666667,1
"105",4,3926,"Todd played football in high school",NA,"F","MC","Did Todd play football in high school?","control3","control","No",2,51,"english","Yes","y","f","",3.29238333333333,0
"106",4,5791,"Hendrick&quotechars car was expensive",NA,"F","MC","Was Hendrick&quotechars car expensive?","control6","control","No",3,51,"english","Yes","y","f","",3.29238333333333,0
"107",4,12138,"Danny ate the last cupcake","F","M","admit","Did Amanda admit that Danny ate the last cupcake?","11","C","Yes",4,51,"english","Yes","y","f","",3.29238333333333,1
"108",4,6163,"Owen shoveled snow last winter","F","M","think","Does Cynthia think that Owen shoveled snow last winter?","17","NonProj","No",5,51,"english","Yes","y","f","",3.29238333333333,0
"109",4,4945,"Emma studied on Saturday morning","M","M","prove","Did Justin prove that Emma studied on Saturday morning?","3","C","No",6,51,"english","Yes","y","f","",3.29238333333333,0
"110",4,4688,"Jon walks to work","F","F","confess","Did Ruth confess that Jon walks to work?","19","C","Yes",7,51,"english","Yes","y","f","",3.29238333333333,1
"111",4,9562,"Sophia got a tattoo","M","F","inform","Did Ben inform Sam that Sophia got a tattoo?","5","C","Yes",8,51,"english","Yes","y","f","",3.29238333333333,1
"112",4,2364,"Zack is coming to the meeting tomorrow",NA,"F","MC","Is Zack coming to the meeting tomorrow?","control1","control","No",9,51,"english","Yes","y","f","",3.29238333333333,0
"113",4,5446,"Jackson ran 10 miles","F","F","confirm","Did Laura confirm that Jackson ran 10 miles?","13","C","No",10,51,"english","Yes","y","f","",3.29238333333333,0
"114",4,6405,"Mia drank 2 cocktails last night","M","F","be_annoyed","Is Ray annoyed that Mia drank 2 cocktails last night?","6","NonProj","Yes",11,51,"english","Yes","y","f","",3.29238333333333,1
"115",4,3004,"Isabella ate a steak on Sunday","M","M","suggest","Did Kevin suggest that Isabella ate a steak on Sunday?","7","C","No",12,51,"english","Yes","y","f","",3.29238333333333,0
"116",4,20141,"Grace visited her sister","M","M","be_right","Is Andrew right that Grace visited her sister?","9","C","No",13,51,"english","Yes","y","f","",3.29238333333333,0
"117",4,11896,"Charley speaks Spanish","F","F","demonstrate","Did Anna demonstrate that Charley speaks Spanish?","20","C","No",14,51,"english","Yes","y","f","",3.29238333333333,0
"118",4,5578,"Madison had a baby",NA,"F","MC","Did Madison have a baby?","control5","control","No",15,51,"english","Yes","y","f","",3.29238333333333,0
"119",4,14526,"Julian dances salsa","F","F","know","Does Kathleen know that Julian dances salsa?","18","NonProj","Yes",16,51,"english","Yes","y","f","",3.29238333333333,1
"120",4,4413,"Olivia sleeps until noon","M","F","discover","Did Jerry discover that Olivia sleeps until noon?","4","NonProj","Yes",17,51,"english","Yes","y","f","",3.29238333333333,1
"121",4,4301,"Tony had a drink last night","F","M","hear","Did Rebecca hear that Tony had a drink last night?","15","C","Yes",18,51,"english","Yes","y","f","",3.29238333333333,1
"122",4,5184,"Emily bought a car yesterday","M","F","announce","Did Brian announce that Emily bought a car yesterday?","8","C","No",19,51,"english","Yes","y","f","",3.29238333333333,0
"123",4,2231,"Mary&quotechars aunt is sick",NA,"M","MC","Is Mary&quotechars aunt sick?","control2","control","No",20,51,"english","Yes","y","f","",3.29238333333333,0
"124",4,3956,"Zoe calculated the tip","M","F","say","Did Tim say that Zoe calculated the tip?","10","C","No",21,51,"english","Yes","y","f","",3.29238333333333,0
"125",4,4318,"Josh learned to ride a bike yesterday","F","F","see","Did Sharon see that Josh learned to ride a bike yesterday?","16","NonProj","Yes",22,51,"english","Yes","y","f","",3.29238333333333,1
"126",4,41202,"Josie went on vacation to France","M","F","pretend","Did Scott pretend that Josie went on vacation to France?","2","NonProj","No",23,51,"english","Yes","y","f","",3.29238333333333,0
"127",4,2996,"Vanessa is good at math",NA,"F","MC","Is Vanessa good at math?","control4","control","No",24,51,"english","Yes","y","f","",3.29238333333333,0
"128",4,3747,"Mary is pregnant","M","F","reveal","Did Patrick reveal that Mary is pregnant?","1","NonProj","No",25,51,"english","Yes","y","f","",3.29238333333333,0
"129",4,5131,"Jayden rented a car","F","M","acknowledge","Did Stephanie acknowledge that Jayden rented a car?","14","C","No",26,51,"english","Yes","y","f","",3.29238333333333,0
"130",4,3491,"Frank got a cat","F","F","establish","Did Melissa establish that Frank got a cat?","12","NonProj","No",27,51,"english","Yes","y","f","",3.29238333333333,0
"131",5,8704,"Madison had a baby",NA,"F","MC","Did Madison have a baby?","control5","control","No",2,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"132",5,10573,"Charley speaks Spanish","F","F","inform","Did Anna inform Sam that Charley speaks Spanish?","20","C","Yes",3,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,1
"133",5,9785,"Mia drank 2 cocktails last night","M","F","demonstrate","Did Ray demonstrate that Mia drank 2 cocktails last night?","6","C","Yes",4,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,1
"134",5,3351,"Todd played football in high school",NA,"F","MC","Did Todd play football in high school?","control3","control","No",5,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"135",5,6474,"Emma studied on Saturday morning","M","F","pretend","Did Justin pretend that Emma studied on Saturday morning?","3","NonProj","No",6,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"136",5,6144,"Grace visited her sister","M","M","know","Does Andrew know that Grace visited her sister?","9","NonProj","Yes",7,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,1
"137",5,7785,"Emily bought a car yesterday","M","M","think","Does Brian think that Emily bought a car yesterday?","8","NonProj","No",8,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"138",5,3466,"Hendrick&quotechars car was expensive",NA,"F","MC","Was Hendrick&quotechars car expensive?","control6","control","No",9,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"139",5,8035,"Owen shoveled snow last winter","F","M","say","Did Cynthia say that Owen shoveled snow last winter?","17","C","No",10,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"140",5,3040,"Vanessa is good at math",NA,"F","MC","Is Vanessa good at math?","control4","control","No",11,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"141",5,6837,"Olivia sleeps until noon","M","F","confirm","Did Jerry confirm that Olivia sleeps until noon?","4","C","Yes",12,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,1
"142",5,6971,"Isabella ate a steak on Sunday","M","M","reveal","Did Kevin reveal that Isabella ate a steak on Sunday?","7","NonProj","No",13,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"143",5,4931,"Frank got a cat","F","F","acknowledge","Did Melissa acknowledge that Frank got a cat?","12","C","Yes",14,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,1
"144",5,5132,"Tony had a drink last night","F","M","discover","Did Rebecca discover that Tony had a drink last night?","15","NonProj","Yes",15,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,1
"145",5,3019,"Zack is coming to the meeting tomorrow",NA,"M","MC","Is Zack coming to the meeting tomorrow?","control1","control","No",16,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"146",5,6468,"Danny ate the last cupcake","F","F","see","Did Amanda see that Danny ate the last cupcake?","11","NonProj","Yes",17,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,1
"147",5,5000,"Mary is pregnant","M","F","be_right","Is Patrick right that Mary is pregnant?","1","C","No",18,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"148",5,8622,"Josh learned to ride a bike yesterday","F","M","confess","Did Sharon confess that Josh learned to ride a bike yesterday?","16","C","No",19,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,0
"149",5,5926,"Josie went on vacation to France","M","F","prove","Did Scott prove that Josie went on vacation to France?","2","C","Yes",20,31,"English","Yes","y","m","The price paid for this HIT was fair for the length of time it took to complete. Also, thank you for caring about paying a fair price! :)",2.70488333333333,1
