"","X","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes","predicateClause"
"38",66,2,10673,"M","F","Emma studied on Saturday morning","confirm","3","C",1,14,27,"English","Yes",0,"Male","",3.39668333333333,"confirm.Emma studied on Saturday morning"
"40",68,2,8553,"M","F","Mary is pregnant","hear","1","C",0.48,16,27,"English","Yes",0,"Male","",3.39668333333333,"hear.Mary is pregnant"
"42",70,2,4111,"F","M","Danny ate the last cupcake","pretend","11","NonProj",0,18,27,"English","Yes",0,"Male","",3.39668333333333,"pretend.Danny ate the last cupcake"
"43",71,2,4599,"M","F","Mia drank 2 cocktails last night","say","6","C",1,19,27,"English","Yes",0,"Male","",3.39668333333333,"say.Mia drank 2 cocktails last night"
"44",72,2,6361,"F","M","Tony had a drink last night","be_annoyed","15","NonProj",1,20,27,"English","Yes",0,"Male","",3.39668333333333,"annoyed.Tony had a drink last night"
"45",73,2,6197,"F","M","Josh learned to ride a bike yesterday","be_right","16","C",1,21,27,"English","Yes",0,"Male","",3.39668333333333,"be_right_that.Josh learned to ride a bike yesterday"
"46",74,2,2792,"F","M","Frank got a cat","discover","12","NonProj",1,22,27,"English","Yes",0,"Male","",3.39668333333333,"discover.Frank got a cat"
"47",75,2,4526,"M","F","Grace visited her sister","know","9","NonProj",1,23,27,"English","Yes",0,"Male","",3.39668333333333,"know.Grace visited her sister"
"48",76,2,4141,"M","F","Sophia got a tattoo","think","5","NonProj",0,24,27,"English","Yes",0,"Male","",3.39668333333333,"think.Sophia got a tattoo"
"50",78,2,4279,"F","M","Jackson ran 10 miles","confess","13","C",1,26,27,"English","Yes",0,"Male","",3.39668333333333,"confess.Jackson ran 10 miles"
"51",79,2,4872,"F","F","Julian dances salsa","acknowledge","18","C",1,27,27,"English","Yes",0,"Male","",3.39668333333333,"acknowledge.Julian dances salsa"
"53",81,2,4493,"F","M","Jon walks to work","prove","19","C",1,29,27,"English","Yes",0,"Male","",3.39668333333333,"prove.Jon walks to work"
"55",83,2,16074,"F","F","Jayden rented a car","suggest","14","C",0,31,27,"English","Yes",0,"Male","",3.39668333333333,"suggest.Jayden rented a car"
"56",84,2,5425,"M","M","Isabella ate a steak on Sunday","see","7","NonProj",1,32,27,"English","Yes",0,"Male","",3.39668333333333,"see.Isabella ate a steak on Sunday"
"58",86,3,3523,"M","F","Isabella ate a steak on Sunday","announce","7","C",1,6,29,"English","Yes",0,"Male","",3.31953333333333,"announce.Isabella ate a steak on Sunday"
"59",87,3,3852,"M","F","Olivia sleeps until noon","hear","4","C",1,7,29,"English","Yes",0,"Male","",3.31953333333333,"hear.Olivia sleeps until noon"
"61",89,3,4094,"F","F","Julian dances salsa","see","18","NonProj",1,9,29,"English","Yes",0,"Male","",3.31953333333333,"see.Julian dances salsa"
"62",90,3,4118,"M","M","Mary is pregnant","demonstrate","1","C",1,10,29,"English","Yes",0,"Male","",3.31953333333333,"demonstrate.Mary is pregnant"
"63",91,3,4321,"F","M","Frank got a cat","admit","12","C",1,11,29,"English","Yes",0,"Male","",3.31953333333333,"admit.Frank got a cat"
"64",92,3,3618,"F","F","Charley speaks Spanish","be_right","20","C",1,12,29,"English","Yes",0,"Male","",3.31953333333333,"be_right_that.Charley speaks Spanish"
"65",93,3,9912,"M","M","Grace visited her sister","inform","9","C",1,13,29,"English","Yes",0,"Male","",3.31953333333333,"inform_Sam.Grace visited her sister"
"66",94,3,4589,"F","F","Owen shoveled snow last winter","confess","17","C",1,14,29,"English","Yes",0,"Male","",3.31953333333333,"confess.Owen shoveled snow last winter"
"68",96,3,4794,"F","M","Jon walks to work","say","19","C",1,16,29,"English","Yes",0,"Male","",3.31953333333333,"say.Jon walks to work"
"69",97,3,5322,"M","M","Josie went on vacation to France","confirm","2","C",1,17,29,"English","Yes",0,"Male","",3.31953333333333,"confirm.Josie went on vacation to France"
"70",98,3,5701,"M","M","Emily bought a car yesterday","think","8","NonProj",0.16,18,29,"English","Yes",0,"Male","",3.31953333333333,"think.Emily bought a car yesterday"
"71",99,3,5149,"F","F","Jayden rented a car","pretend","14","NonProj",0.15,19,29,"English","Yes",0,"Male","",3.31953333333333,"pretend.Jayden rented a car"
"74",102,3,6073,"F","F","Danny ate the last cupcake","suggest","11","C",0.2,22,29,"English","Yes",0,"Male","",3.31953333333333,"suggest.Danny ate the last cupcake"
"76",104,3,3523,"F","F","Tony had a drink last night","know","15","NonProj",1,24,29,"English","Yes",0,"Male","",3.31953333333333,"know.Tony had a drink last night"
"78",106,3,5056,"M","M","Mia drank 2 cocktails last night","be_annoyed","6","NonProj",1,26,29,"English","Yes",0,"Male","",3.31953333333333,"annoyed.Mia drank 2 cocktails last night"
"80",108,3,4407,"M","M","Zoe calculated the tip","prove","10","C",1,28,29,"English","Yes",0,"Male","",3.31953333333333,"prove.Zoe calculated the tip"
"81",109,3,3804,"M","F","Sophia got a tattoo","acknowledge","5","C",1,29,29,"English","Yes",0,"Male","",3.31953333333333,"acknowledge.Sophia got a tattoo"
"82",110,3,3695,"M","F","Emma studied on Saturday morning","discover","3","NonProj",1,30,29,"English","Yes",0,"Male","",3.31953333333333,"discover.Emma studied on Saturday morning"
"83",111,3,10308,"F","F","Jackson ran 10 miles","reveal","13","NonProj",1,31,29,"English","Yes",0,"Male","",3.31953333333333,"reveal.Jackson ran 10 miles"
"84",112,3,9699,"F","M","Josh learned to ride a bike yesterday","establish","16","NonProj",1,32,29,"English","Yes",0,"Male","",3.31953333333333,"establish.Josh learned to ride a bike yesterday"
"85",113,4,6831,"M","F","Emily bought a car yesterday","confess","8","C",0.94,5,32,"English","Yes",0,"Female","",3.33623333333333,"confess.Emily bought a car yesterday"
"86",114,4,9440,"F","M","Danny ate the last cupcake","discover","11","NonProj",0.55,6,32,"English","Yes",0,"Female","",3.33623333333333,"discover.Danny ate the last cupcake"
"87",115,4,5055,"M","F","Emma studied on Saturday morning","prove","3","C",0.85,7,32,"English","Yes",0,"Female","",3.33623333333333,"prove.Emma studied on Saturday morning"
"88",116,4,9137,"F","F","Jon walks to work","see","19","NonProj",0.96,8,32,"English","Yes",0,"Female","",3.33623333333333,"see.Jon walks to work"
"91",119,4,4200,"M","M","Zoe calculated the tip","acknowledge","10","C",0.54,11,32,"English","Yes",0,"Female","",3.33623333333333,"acknowledge.Zoe calculated the tip"
"94",122,4,4663,"M","M","Olivia sleeps until noon","suggest","4","C",0.48,14,32,"English","Yes",0,"Female","",3.33623333333333,"suggest.Olivia sleeps until noon"
"95",123,4,3624,"F","F","Tony had a drink last night","establish","15","NonProj",0.9,15,32,"English","Yes",0,"Female","",3.33623333333333,"establish.Tony had a drink last night"
"96",124,4,3632,"F","F","Charley speaks Spanish","reveal","20","NonProj",0.85,16,32,"English","Yes",0,"Female","",3.33623333333333,"reveal.Charley speaks Spanish"
"98",126,4,6638,"F","M","Josh learned to ride a bike yesterday","inform","16","C",0.74,18,32,"English","Yes",0,"Female","",3.33623333333333,"inform_Sam.Josh learned to ride a bike yesterday"
"99",127,4,5832,"M","F","Grace visited her sister","confirm","9","C",0.92,19,32,"English","Yes",0,"Female","",3.33623333333333,"confirm.Grace visited her sister"
"100",128,4,4351,"M","F","Sophia got a tattoo","be_right","5","C",0.47,20,32,"English","Yes",0,"Female","",3.33623333333333,"be_right_that.Sophia got a tattoo"
"101",129,4,6216,"M","M","Mia drank 2 cocktails last night","say","6","C",0.54,21,32,"English","Yes",0,"Female","",3.33623333333333,"say.Mia drank 2 cocktails last night"
"102",130,4,4032,"F","F","Frank got a cat","admit","12","C",0.66,22,32,"English","Yes",0,"Female","",3.33623333333333,"admit.Frank got a cat"
"103",131,4,5152,"M","F","Josie went on vacation to France","hear","2","C",0.63,23,32,"English","Yes",0,"Female","",3.33623333333333,"hear.Josie went on vacation to France"
"104",132,4,5120,"F","M","Owen shoveled snow last winter","announce","17","C",0.69,24,32,"English","Yes",0,"Female","",3.33623333333333,"announce.Owen shoveled snow last winter"
"105",133,4,5832,"M","M","Mary is pregnant","be_annoyed","1","NonProj",0.81,25,32,"English","Yes",0,"Female","",3.33623333333333,"annoyed.Mary is pregnant"
"108",136,4,5626,"M","F","Isabella ate a steak on Sunday","think","7","NonProj",0.49,28,32,"English","Yes",0,"Female","",3.33623333333333,"think.Isabella ate a steak on Sunday"
"109",137,4,3446,"F","F","Jackson ran 10 miles","demonstrate","13","C",0.71,29,32,"English","Yes",0,"Female","",3.33623333333333,"demonstrate.Jackson ran 10 miles"
"111",139,4,3736,"F","M","Jayden rented a car","know","14","NonProj",0.95,31,32,"English","Yes",0,"Female","",3.33623333333333,"know.Jayden rented a car"
"112",140,4,4290,"F","F","Julian dances salsa","pretend","18","NonProj",0.29,32,32,"English","Yes",0,"Female","",3.33623333333333,"pretend.Julian dances salsa"
"113",141,5,-4497,"F","M","Charley speaks Spanish","confess","20","C",0.74,5,24,"English","Yes",0,"Female","",3.5388,"confess.Charley speaks Spanish"
"115",143,5,3545,"F","F","Jackson ran 10 miles","announce","13","C",0.8,7,24,"English","Yes",0,"Female","",3.5388,"announce.Jackson ran 10 miles"
"116",144,5,3701,"F","F","Owen shoveled snow last winter","admit","17","C",0.74,8,24,"English","Yes",0,"Female","",3.5388,"admit.Owen shoveled snow last winter"
"118",146,5,4913,"M","F","Emma studied on Saturday morning","hear","3","C",0.52,10,24,"English","Yes",0,"Female","",3.5388,"hear.Emma studied on Saturday morning"
"119",147,5,2931,"M","F","Mia drank 2 cocktails last night","be_right","6","C",1,11,24,"English","Yes",0,"Female","",3.5388,"be_right_that.Mia drank 2 cocktails last night"
"120",148,5,3629,"F","F","Danny ate the last cupcake","demonstrate","11","C",0.65,12,24,"English","Yes",0,"Female","",3.5388,"demonstrate.Danny ate the last cupcake"
"122",150,5,3642,"M","F","Sophia got a tattoo","discover","5","NonProj",1,14,24,"English","Yes",0,"Female","",3.5388,"discover.Sophia got a tattoo"
"123",151,5,2187,"F","F","Frank got a cat","see","12","NonProj",1,15,24,"English","Yes",0,"Female","",3.5388,"see.Frank got a cat"
"124",152,5,2978,"M","M","Emily bought a car yesterday","prove","8","C",1,16,24,"English","Yes",0,"Female","",3.5388,"prove.Emily bought a car yesterday"
"125",153,5,3586,"M","M","Isabella ate a steak on Sunday","pretend","7","NonProj",0,17,24,"English","Yes",0,"Female","",3.5388,"pretend.Isabella ate a steak on Sunday"
"126",154,5,4654,"M","F","Grace visited her sister","inform","9","C",0.84,18,24,"English","Yes",0,"Female","",3.5388,"inform_Sam.Grace visited her sister"
"127",155,5,3133,"M","F","Josie went on vacation to France","acknowledge","2","C",0.92,19,24,"English","Yes",0,"Female","",3.5388,"acknowledge.Josie went on vacation to France"
"128",156,5,2841,"M","M","Zoe calculated the tip","think","10","NonProj",0.56,20,24,"English","Yes",0,"Female","",3.5388,"think.Zoe calculated the tip"
"129",157,5,2696,"F","M","Josh learned to ride a bike yesterday","reveal","16","NonProj",0.87,21,24,"English","Yes",0,"Female","",3.5388,"reveal.Josh learned to ride a bike yesterday"
"131",159,5,15553,"M","F","Olivia sleeps until noon","know","4","NonProj",1,23,24,"English","Yes",0,"Female","",3.5388,"know.Olivia sleeps until noon"
"132",160,5,86740,"F","M","Jon walks to work","confirm","19","C",0.95,24,24,"English","Yes",0,"Female","",3.5388,"confirm.Jon walks to work"
"134",162,5,2684,"F","M","Tony had a drink last night","be_annoyed","15","NonProj",1,26,24,"English","Yes",0,"Female","",3.5388,"annoyed.Tony had a drink last night"
"135",163,5,3424,"F","M","Jayden rented a car","establish","14","NonProj",0.85,27,24,"English","Yes",0,"Female","",3.5388,"establish.Jayden rented a car"
"136",164,5,3221,"F","M","Julian dances salsa","suggest","18","C",0.6,28,24,"English","Yes",0,"Female","",3.5388,"suggest.Julian dances salsa"
"139",167,5,3389,"M","F","Mary is pregnant","say","1","C",0.64,31,24,"English","Yes",0,"Female","",3.5388,"say.Mary is pregnant"
"141",169,6,7403,"M","F","Mary is pregnant","suggest","1","C",0.41,5,36,"English","Yes",0,"Female","",3.93041666666667,"suggest.Mary is pregnant"
"142",170,6,5482,"F","F","Danny ate the last cupcake","be_annoyed","11","NonProj",1,6,36,"English","Yes",0,"Female","",3.93041666666667,"annoyed.Danny ate the last cupcake"
"144",172,6,6036,"F","F","Jon walks to work","announce","19","C",0.85,8,36,"English","Yes",0,"Female","",3.93041666666667,"announce.Jon walks to work"
"145",173,6,6192,"F","M","Josh learned to ride a bike yesterday","prove","16","C",1,9,36,"English","Yes",0,"Female","",3.93041666666667,"prove.Josh learned to ride a bike yesterday"
"146",174,6,6252,"M","M","Zoe calculated the tip","see","10","NonProj",0.99,10,36,"English","Yes",0,"Female","",3.93041666666667,"see.Zoe calculated the tip"
"147",175,6,5002,"M","M","Mia drank 2 cocktails last night","admit","6","C",0.86,11,36,"English","Yes",0,"Female","",3.93041666666667,"admit.Mia drank 2 cocktails last night"
"148",176,6,4399,"M","M","Sophia got a tattoo","establish","5","NonProj",0.93,12,36,"English","Yes",0,"Female","",3.93041666666667,"establish.Sophia got a tattoo"
"150",178,6,17038,"M","M","Emma studied on Saturday morning","inform","3","C",0.86,14,36,"English","Yes",0,"Female","",3.93041666666667,"inform_Sam.Emma studied on Saturday morning"
"152",180,6,5497,"M","F","Isabella ate a steak on Sunday","hear","7","C",0.34,16,36,"English","Yes",0,"Female","",3.93041666666667,"hear.Isabella ate a steak on Sunday"
"154",182,6,5696,"F","F","Jayden rented a car","say","14","C",0.92,18,36,"English","Yes",0,"Female","",3.93041666666667,"say.Jayden rented a car"
"155",183,6,5384,"F","F","Jackson ran 10 miles","confess","13","C",0.99,19,36,"English","Yes",0,"Female","",3.93041666666667,"confess.Jackson ran 10 miles"
"158",186,6,6431,"F","F","Owen shoveled snow last winter","know","17","NonProj",0.97,22,36,"English","Yes",0,"Female","",3.93041666666667,"know.Owen shoveled snow last winter"
"159",187,6,4891,"F","F","Tony had a drink last night","confirm","15","C",0.99,23,36,"English","Yes",0,"Female","",3.93041666666667,"confirm.Tony had a drink last night"
"160",188,6,18625,"M","M","Olivia sleeps until noon","demonstrate","4","C",0.95,24,36,"English","Yes",0,"Female","",3.93041666666667,"demonstrate.Olivia sleeps until noon"
"162",190,6,4920,"F","M","Charley speaks Spanish","acknowledge","20","C",0.96,26,36,"English","Yes",0,"Female","",3.93041666666667,"acknowledge.Charley speaks Spanish"
"163",191,6,4766,"M","F","Grace visited her sister","be_right","9","C",0.98,27,36,"English","Yes",0,"Female","",3.93041666666667,"be_right_that.Grace visited her sister"
"164",192,6,5218,"F","M","Julian dances salsa","discover","18","NonProj",0.98,28,36,"English","Yes",0,"Female","",3.93041666666667,"discover.Julian dances salsa"
"166",194,6,4368,"F","F","Frank got a cat","reveal","12","NonProj",0.97,30,36,"English","Yes",0,"Female","",3.93041666666667,"reveal.Frank got a cat"
"167",195,6,7681,"M","M","Josie went on vacation to France","pretend","2","NonProj",0.09,31,36,"English","Yes",0,"Female","",3.93041666666667,"pretend.Josie went on vacation to France"
"168",196,6,5371,"M","M","Emily bought a car yesterday","think","8","NonProj",0.23,32,36,"English","Yes",0,"Female","",3.93041666666667,"think.Emily bought a car yesterday"
"169",197,7,4249,"M","M","Mary is pregnant","admit","1","C",0.66,5,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"admit.Mary is pregnant"
"170",198,7,4200,"M","F","Emma studied on Saturday morning","announce","3","C",0.68,6,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"announce.Emma studied on Saturday morning"
"171",199,7,3633,"F","F","Tony had a drink last night","confess","15","C",0.7,7,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"confess.Tony had a drink last night"
"172",200,7,2690,"F","F","Jackson ran 10 miles","acknowledge","13","C",0.68,8,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"acknowledge.Jackson ran 10 miles"
"176",204,7,5364,"M","F","Josie went on vacation to France","be_annoyed","2","NonProj",0.82,12,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"annoyed.Josie went on vacation to France"
"177",205,7,4476,"F","F","Jayden rented a car","prove","14","C",0.76,13,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"prove.Jayden rented a car"
"179",207,7,3961,"F","M","Danny ate the last cupcake","know","11","NonProj",0.86,15,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"know.Danny ate the last cupcake"
"181",209,7,4141,"M","F","Emily bought a car yesterday","see","8","NonProj",0.89,17,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"see.Emily bought a car yesterday"
"182",210,7,5297,"F","F","Charley speaks Spanish","demonstrate","20","C",0.89,18,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"demonstrate.Charley speaks Spanish"
"183",211,7,4122,"F","F","Jon walks to work","reveal","19","NonProj",0.85,19,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"reveal.Jon walks to work"
"184",212,7,6557,"M","M","Isabella ate a steak on Sunday","think","7","NonProj",0.23,20,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"think.Isabella ate a steak on Sunday"
"185",213,7,5735,"F","F","Julian dances salsa","pretend","18","NonProj",0.21,21,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"pretend.Julian dances salsa"
"186",214,7,8295,"M","F","Sophia got a tattoo","suggest","5","C",0.22,22,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"suggest.Sophia got a tattoo"
"187",215,7,4551,"F","M","Josh learned to ride a bike yesterday","confirm","16","C",0.83,23,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"confirm.Josh learned to ride a bike yesterday"
"188",216,7,8023,"M","M","Mia drank 2 cocktails last night","hear","6","C",0.26,24,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"hear.Mia drank 2 cocktails last night"
"189",217,7,5088,"F","M","Frank got a cat","be_right","12","C",0.83,25,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"be_right_that.Frank got a cat"
"190",218,7,3385,"M","F","Zoe calculated the tip","establish","10","NonProj",0.89,26,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"establish.Zoe calculated the tip"
"194",222,7,4992,"M","F","Grace visited her sister","discover","9","NonProj",0.82,30,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"discover.Grace visited her sister"
"195",223,7,11702,"F","F","Owen shoveled snow last winter","inform","17","C",0.78,31,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"inform_Sam.Owen shoveled snow last winter"
"196",224,7,3817,"M","F","Olivia sleeps until noon","say","4","C",0.85,32,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205,"say.Olivia sleeps until noon"
"197",225,8,4963,"M","M","Isabella ate a steak on Sunday","think","7","NonProj",0.44,5,33,"English","Yes",0,"Female","",3.79718333333333,"think.Isabella ate a steak on Sunday"
"198",226,8,8692,"M","F","Emily bought a car yesterday","confirm","8","C",0.98,6,33,"English","Yes",0,"Female","",3.79718333333333,"confirm.Emily bought a car yesterday"
"199",227,8,9767,"F","F","Jayden rented a car","admit","14","C",0.99,7,33,"English","Yes",0,"Female","",3.79718333333333,"admit.Jayden rented a car"
"200",228,8,3709,"M","M","Mary is pregnant","demonstrate","1","C",0.98,8,33,"English","Yes",0,"Female","",3.79718333333333,"demonstrate.Mary is pregnant"
"202",230,8,7653,"F","F","Julian dances salsa","see","18","NonProj",0.95,10,33,"English","Yes",0,"Female","",3.79718333333333,"see.Julian dances salsa"
"203",231,8,7754,"M","F","Zoe calculated the tip","acknowledge","10","C",0.93,11,33,"English","Yes",0,"Female","",3.79718333333333,"acknowledge.Zoe calculated the tip"
"204",232,8,7745,"M","F","Josie went on vacation to France","hear","2","C",0.37,12,33,"English","Yes",0,"Female","",3.79718333333333,"hear.Josie went on vacation to France"
"205",233,8,5857,"F","F","Charley speaks Spanish","confess","20","C",0.87,13,33,"English","Yes",0,"Female","",3.79718333333333,"confess.Charley speaks Spanish"
"208",236,8,9855,"M","M","Emma studied on Saturday morning","inform","3","C",0.46,16,33,"English","Yes",0,"Female","",3.79718333333333,"inform_Sam.Emma studied on Saturday morning"
"210",238,8,4354,"F","F","Frank got a cat","pretend","12","NonProj",0.02,18,33,"English","Yes",0,"Female","",3.79718333333333,"pretend.Frank got a cat"
"211",239,8,3635,"F","M","Jon walks to work","reveal","19","NonProj",0.78,19,33,"English","Yes",0,"Female","",3.79718333333333,"reveal.Jon walks to work"
"213",241,8,4008,"M","F","Sophia got a tattoo","prove","5","C",0.94,21,33,"English","Yes",0,"Female","",3.79718333333333,"prove.Sophia got a tattoo"
"214",242,8,4111,"M","F","Olivia sleeps until noon","be_annoyed","4","NonProj",0.9,22,33,"English","Yes",0,"Female","",3.79718333333333,"annoyed.Olivia sleeps until noon"
"215",243,8,4004,"F","F","Owen shoveled snow last winter","be_right","17","C",0.99,23,33,"English","Yes",0,"Female","",3.79718333333333,"be_right_that.Owen shoveled snow last winter"
"216",244,8,4505,"F","M","Danny ate the last cupcake","discover","11","NonProj",0.97,24,33,"English","Yes",0,"Female","",3.79718333333333,"discover.Danny ate the last cupcake"
"217",245,8,6906,"F","M","Josh learned to ride a bike yesterday","establish","16","NonProj",0.86,25,33,"English","Yes",0,"Female","",3.79718333333333,"establish.Josh learned to ride a bike yesterday"
"219",247,8,4567,"M","F","Grace visited her sister","announce","9","C",0.89,27,33,"English","Yes",0,"Female","",3.79718333333333,"announce.Grace visited her sister"
"220",248,8,4001,"F","F","Tony had a drink last night","know","15","NonProj",0.88,28,33,"English","Yes",0,"Female","",3.79718333333333,"know.Tony had a drink last night"
"222",250,8,7631,"F","M","Jackson ran 10 miles","say","13","C",0.56,30,33,"English","Yes",0,"Female","",3.79718333333333,"say.Jackson ran 10 miles"
"224",252,8,4484,"M","F","Mia drank 2 cocktails last night","suggest","6","C",0.46,32,33,"English","Yes",0,"Female","",3.79718333333333,"suggest.Mia drank 2 cocktails last night"
"225",253,9,4205,"M","M","Isabella ate a steak on Sunday","announce","7","C",1,5,39,"English","Yes",0,"Male","",4.15746666666667,"announce.Isabella ate a steak on Sunday"
"226",254,9,5168,"F","M","Charley speaks Spanish","prove","20","C",1,6,39,"English","Yes",0,"Male","",4.15746666666667,"prove.Charley speaks Spanish"
"229",257,9,3943,"F","F","Danny ate the last cupcake","discover","11","NonProj",1,9,39,"English","Yes",0,"Male","",4.15746666666667,"discover.Danny ate the last cupcake"
"230",258,9,7136,"M","F","Sophia got a tattoo","pretend","5","NonProj",0,10,39,"English","Yes",0,"Male","",4.15746666666667,"pretend.Sophia got a tattoo"
"231",259,9,3976,"M","F","Mia drank 2 cocktails last night","admit","6","C",1,11,39,"English","Yes",0,"Male","",4.15746666666667,"admit.Mia drank 2 cocktails last night"
"232",260,9,4568,"M","F","Olivia sleeps until noon","be_annoyed","4","NonProj",1,12,39,"English","Yes",0,"Male","",4.15746666666667,"annoyed.Olivia sleeps until noon"
"236",264,9,4152,"F","F","Frank got a cat","see","12","NonProj",1,16,39,"English","Yes",0,"Male","",4.15746666666667,"see.Frank got a cat"
