date,workerid,amount
Mon Jun 22 14:44:29 CEST 2015,AAXX5LDVJ32F8,0.3
Mon Jun 22 14:44:33 CEST 2015,A20FJRCAWN4TTA,0.3
Mon Jun 22 14:44:36 CEST 2015,A6B8DOH3KV5SL,0.3
Mon Jun 22 14:44:48 CEST 2015,A1AYFPD1RFW8P5,0.3
Mon Jun 22 14:45:01 CEST 2015,A3OE7882P03XR4,0.3
Mon Jun 22 14:45:16 CEST 2015,APL3MD4HGU6NF,0.3
Mon Jun 22 14:45:28 CEST 2015,A1W0IMVAWG4F64,0.3
Mon Jun 22 14:45:29 CEST 2015,A36JLQOX64JY2O,0.3
Mon Jun 22 14:45:35 CEST 2015,A2WWYGLY1SI0LM,0.3
Mon Jun 22 14:45:37 CEST 2015,A33UOAX4OD05QR,0.3
Mon Jun 22 14:45:37 CEST 2015,ADKKDK6P4MS1Z,0.3
Mon Jun 22 14:45:43 CEST 2015,A1RSJ45RXTREWN,0.3
Mon Jun 22 14:45:51 CEST 2015,A2E3SM3T01ENIR,0.3
Mon Jun 22 14:46:10 CEST 2015,ASNTJ81DXL7E8,0.3
Mon Jun 22 14:46:11 CEST 2015,AV0NB9Q2CBS88,0.3
Mon Jun 22 14:46:11 CEST 2015,A1XLGIFFGB01EU,0.3
Mon Jun 22 14:46:18 CEST 2015,A2CEUCPDECS6U3,0.3
Mon Jun 22 14:46:23 CEST 2015,A179UW7D2N5JOC,0.3
Mon Jun 22 14:46:26 CEST 2015,ALBRLYG3VO75W,0.3
Mon Jun 22 14:46:27 CEST 2015,A376SSV0E5DBG7,0.3
Mon Jun 22 14:46:39 CEST 2015,A176SMDH3KP0G8,0.3
Mon Jun 22 14:46:56 CEST 2015,A1K1P8R2KI7AUJ,0.3
Mon Jun 22 14:47:02 CEST 2015,A8YFT7WBW5JCS,0.3
Mon Jun 22 14:47:11 CEST 2015,A44GF72UX2T66,0.3
Mon Jun 22 14:47:14 CEST 2015,A34N6YXTZKEPPW,0.3
Mon Jun 22 14:47:22 CEST 2015,A3F46WBVY3EL79,0.3
Mon Jun 22 14:47:40 CEST 2015,A1WWEFLAUYKJK9,0.3
Mon Jun 22 14:47:41 CEST 2015,A1D5BI42TYSR5P,0.3
Mon Jun 22 14:47:42 CEST 2015,A369DR0NM7S98F,0.3
Mon Jun 22 14:48:01 CEST 2015,A2MDFWYG31FCTN,0.3
Mon Jun 22 14:48:07 CEST 2015,A3E3RCR51Z8EVP,0.3
Mon Jun 22 14:48:10 CEST 2015,A33Y2Y21A2ROEQ,0.3
Mon Jun 22 14:48:36 CEST 2015,A1RGGODS3DSO5Q,0.3
Mon Jun 22 14:48:55 CEST 2015,A20PSVHEDXNJIH,0.3
Mon Jun 22 14:49:41 CEST 2015,AJDXSXAWDDAEO,0.3
Mon Jun 22 14:49:48 CEST 2015,A2SBN6V55I5K4I,0.3
Mon Jun 22 14:49:49 CEST 2015,A4O485Q13C226,0.3
Mon Jun 22 14:49:50 CEST 2015,A257UIPAZR9NTN,0.3
Mon Jun 22 14:50:13 CEST 2015,AW0MG225VXWCN,0.3
Mon Jun 22 14:50:21 CEST 2015,A1HKB73TUJ5Z42,0.3
Mon Jun 22 14:50:26 CEST 2015,A1V5VJE32G7HDE,0.3
Mon Jun 22 14:50:28 CEST 2015,A29PB2C8XD8TVG,0.3
Mon Jun 22 14:50:31 CEST 2015,A37WXDYYT7RCZ0,0.3
Mon Jun 22 14:50:34 CEST 2015,A2K89V0WNI3MHC,0.3
Mon Jun 22 14:50:39 CEST 2015,A1VZSFHTU51JP0,0.3
Mon Jun 22 14:50:47 CEST 2015,A1LA46VH87ZPC4,0.3
Mon Jun 22 14:51:05 CEST 2015,A1Y0Y6U906ABT5,0.3
Mon Jun 22 14:51:17 CEST 2015,AL4WZDIXIVO2S,0.3
Mon Jun 22 14:51:34 CEST 2015,A1A7U8TF7JAMGN,0.3
Mon Jun 22 14:51:37 CEST 2015,AKLV0WIZZ356X,0.3
Mon Jun 22 14:51:51 CEST 2015,A2U4078VMY69H9,0.3
Mon Jun 22 14:51:59 CEST 2015,A36JGDU8QZV5YE,0.3
Mon Jun 22 14:52:22 CEST 2015,A17HNBZF5A1CWF,0.3
Mon Jun 22 14:52:31 CEST 2015,A20NL6L8244R6D,0.3
Mon Jun 22 14:53:00 CEST 2015,A9WOSHNN5EKDE,0.3
Mon Jun 22 14:53:01 CEST 2015,AHXE36JW3AY4J,0.3
Mon Jun 22 14:53:07 CEST 2015,A3K7UC7LUKV0ZV,0.3
Mon Jun 22 14:53:21 CEST 2015,A2OY1U1I6GYIFR,0.3
Mon Jun 22 14:53:28 CEST 2015,A34A7MN2SKHWUC,0.3
Mon Jun 22 14:53:32 CEST 2015,A2UETCNUK66V51,0.3
Mon Jun 22 14:53:41 CEST 2015,A1U8LTCX5XYJ45,0.3
Mon Jun 22 14:54:08 CEST 2015,A3D85W306QR8NJ,0.3
Mon Jun 22 14:54:33 CEST 2015,A2179VLITZ8QHP,0.3
Mon Jun 22 14:54:45 CEST 2015,A1WR6M74EOTJNY,0.3
Mon Jun 22 14:54:53 CEST 2015,A1LRJ2MQD4AMES,0.3
Mon Jun 22 14:55:12 CEST 2015,A1IX6Q3KQM8HYH,0.3
Mon Jun 22 14:55:32 CEST 2015,A2VBSFSJXLZZ7A,0.3
Mon Jun 22 14:56:00 CEST 2015,A3FYJQQRZL4KJ8,0.3
Mon Jun 22 14:56:50 CEST 2015,AX5N0RGRVLUG4,0.3
Mon Jun 22 14:57:15 CEST 2015,ATKKNROLIEOJO,0.3
Mon Jun 22 14:57:53 CEST 2015,A1HK7CR71C8BCA,0.3
Mon Jun 22 14:58:03 CEST 2015,AV1GW7HQ25UES,0.3
Mon Jun 22 14:58:05 CEST 2015,A2VO2TXK0GS5ET,0.3
Mon Jun 22 14:58:11 CEST 2015,A1N54C8VTUX1CF,0.3
Mon Jun 22 14:58:20 CEST 2015,A35LEE74GHDV9U,0.3
Mon Jun 22 14:58:32 CEST 2015,A22XK2FSFIAAFG,0.3
Mon Jun 22 14:58:58 CEST 2015,A3VZ9CPPJM679D,0.3
Mon Jun 22 14:59:00 CEST 2015,A18KTX2BC1030R,0.3
Mon Jun 22 14:59:25 CEST 2015,A2GRNSDFK9288M,0.3
Mon Jun 22 14:59:37 CEST 2015,A41CZO4K6Q1A7,0.3
Mon Jun 22 14:59:38 CEST 2015,AVQGY7FCU80XP,0.3
Mon Jun 22 14:59:45 CEST 2015,A3DA88CF3S68OM,0.3
Mon Jun 22 14:59:53 CEST 2015,AY62M3SXPNANR,0.3
Mon Jun 22 15:01:05 CEST 2015,A39ROW50DWRRKT,0.3
Mon Jun 22 15:01:23 CEST 2015,A12VU5YSHGQH2V,0.3
Mon Jun 22 15:01:51 CEST 2015,A3K3XCNSCZ5U0W,0.3
Mon Jun 22 15:02:16 CEST 2015,A2RYRS301XIZZD,0.3
Mon Jun 22 15:02:20 CEST 2015,A1UMK3WMFMM89Y,0.3
Mon Jun 22 15:02:28 CEST 2015,A29QUFNTIKS0YC,0.3
Mon Jun 22 15:02:44 CEST 2015,AW6UIL04MLQ9N,0.3
Mon Jun 22 15:02:51 CEST 2015,A2CZL2LYH2130N,0.3
Mon Jun 22 15:02:51 CEST 2015,A2JY5MR8SR71YX,0.3
Mon Jun 22 15:03:12 CEST 2015,A3BL2ZEODD79AZ,0.3
Mon Jun 22 15:03:43 CEST 2015,A3F8G26PENQ6EO,0.3
Mon Jun 22 15:04:12 CEST 2015,A3L60SOWLYEDN2,0.3
Mon Jun 22 15:04:15 CEST 2015,A3774HPOUKYTX7,0.3
Mon Jun 22 15:04:30 CEST 2015,A1H11P4QSM08Y1,0.3
Mon Jun 22 15:04:32 CEST 2015,AJDMNI5LT1VKR,0.3
Mon Jun 22 15:04:56 CEST 2015,A2JW9RMYFHTI0I,0.3
Mon Jun 22 15:04:59 CEST 2015,A1QXNSISOXCMV0,0.3
Mon Jun 22 15:06:15 CEST 2015,A3H6C8N09ZMJEO,0.3
Mon Jun 22 15:07:13 CEST 2015,A3R96WZ358FS70,0.3
Mon Jun 22 15:07:28 CEST 2015,A1RKGOYNX6MAHG,0.3
Mon Jun 22 15:07:39 CEST 2015,A12QUZGOA8ZLFY,0.3
Mon Jun 22 15:08:20 CEST 2015,A2RV83T6E2C05M,0.3
Mon Jun 22 15:08:28 CEST 2015,A78Y5750JYTVA,0.3
Mon Jun 22 15:08:32 CEST 2015,A2C7VUFGB8WGCG,0.3
Mon Jun 22 15:08:49 CEST 2015,A2R2TY8G95X2N,0.3
Mon Jun 22 15:08:50 CEST 2015,A14WLAP6TCEKO0,0.3
Mon Jun 22 15:08:51 CEST 2015,A2VTCD0KE6U9RA,0.3
Mon Jun 22 15:08:56 CEST 2015,A2ZW029G7AOF3B,0.3
Mon Jun 22 15:09:00 CEST 2015,A2WX0GMSZUCP83,0.3
Mon Jun 22 15:09:08 CEST 2015,A3HBXVW923NG8Q,0.3
Mon Jun 22 15:09:09 CEST 2015,A2UVEVCYVC553J,0.3
Mon Jun 22 15:09:51 CEST 2015,A1HDFKT3ZGK25P,0.3
Mon Jun 22 15:10:20 CEST 2015,A24X5VS1MD2X0A,0.3
Mon Jun 22 15:10:25 CEST 2015,A3B2H4HGSP6JCF,0.3
Mon Jun 22 15:10:29 CEST 2015,A38HODAQUKJKKS,0.3
Mon Jun 22 15:11:56 CEST 2015,AQ36LN8TVZ5CA,0.3
Mon Jun 22 15:13:11 CEST 2015,A1COQN0KWD4WDH,0.3
Mon Jun 22 15:13:14 CEST 2015,A2D3DS9DEY5KHT,0.3
Mon Jun 22 15:13:59 CEST 2015,A3UO7J3GT8DYWC,0.3
Mon Jun 22 15:14:22 CEST 2015,A8BGHKGBA8O33,0.3
Mon Jun 22 15:14:47 CEST 2015,A3DFAMWCUGEYTD,0.3
Mon Jun 22 15:14:54 CEST 2015,A1SU8C0D1IJYTN,0.3
Mon Jun 22 15:14:58 CEST 2015,AH7HHYWHK738C,0.3
Mon Jun 22 15:15:00 CEST 2015,A1W2G1N4BDF2DW,0.3
Mon Jun 22 15:15:24 CEST 2015,A15J76DOMG29EZ,0.3
Mon Jun 22 15:16:09 CEST 2015,A3MZ9RQJX9T656,0.3
Mon Jun 22 15:16:50 CEST 2015,A4MNEMGPU0KAD,0.3
Mon Jun 22 15:17:18 CEST 2015,AF33681RI3ES8,0.3
Mon Jun 22 15:17:36 CEST 2015,A34M820IS3DTBU,0.3
Mon Jun 22 15:17:40 CEST 2015,A2A9JD9UV8DQZX,0.3
Mon Jun 22 15:17:46 CEST 2015,A39MWKK4H60KP6,0.3
Mon Jun 22 15:18:15 CEST 2015,A134MJZL7H493A,0.3
Mon Jun 22 15:18:33 CEST 2015,A251B3B62CE0JA,0.3
Mon Jun 22 15:18:34 CEST 2015,AOHE56L0POV6,0.3
Mon Jun 22 15:18:36 CEST 2015,A3NN4CTXTEHDOD,0.3
Mon Jun 22 15:18:47 CEST 2015,A2HJE0CK4HR7I4,0.3
Mon Jun 22 15:19:38 CEST 2015,A2XXREC1JD738H,0.3
Mon Jun 22 15:19:46 CEST 2015,A37I4RNGXXTX9B,0.3
Mon Jun 22 15:20:10 CEST 2015,A3RUUTINBKU8YE,0.3
Mon Jun 22 15:20:19 CEST 2015,A1CVM8I2566ILI,0.3
Mon Jun 22 15:21:05 CEST 2015,A2NGQVFMEXXA7G,0.3
Mon Jun 22 15:21:26 CEST 2015,A1YOLDOMRGTJRH,0.3
Mon Jun 22 15:21:30 CEST 2015,A3NS1DN6J7Z3EU,0.3
Mon Jun 22 15:21:35 CEST 2015,A3GYJ7ZDKUZP7L,0.3
Mon Jun 22 15:22:18 CEST 2015,A161NZP385W1TX,0.3
Mon Jun 22 15:22:31 CEST 2015,AZG3ZFBPSL91I,0.3
Mon Jun 22 15:22:58 CEST 2015,A2LEY4X3LD8G26,0.3
Mon Jun 22 15:23:05 CEST 2015,A3AEN3XWGI56R7,0.3
Mon Jun 22 15:23:45 CEST 2015,A2UF2FRGVW4T89,0.3
Mon Jun 22 15:23:47 CEST 2015,A1DNJ17PE2RYJZ,0.3
Mon Jun 22 15:24:24 CEST 2015,A1NF1GLV9U6UD5,0.3
Mon Jun 22 15:24:26 CEST 2015,A6GK3W5MDWXCY,0.3
Mon Jun 22 15:24:33 CEST 2015,A1W17OY3AO1B72,0.3
Mon Jun 22 15:24:35 CEST 2015,A2T315M1XTWXQC,0.3
Mon Jun 22 15:24:47 CEST 2015,AAXOAPIBFQUCB,0.3
Mon Jun 22 15:24:56 CEST 2015,A2EMZBM8P59I8N,0.3
Mon Jun 22 15:25:33 CEST 2015,ALVNMQMD3Q3ZE,0.3
Mon Jun 22 15:25:38 CEST 2015,AB0C8SMEA3BFE,0.3
Mon Jun 22 15:25:54 CEST 2015,A2IIIRZ1UMOND,0.3
Mon Jun 22 15:26:05 CEST 2015,A3J0DNROE9H9QJ,0.3
Mon Jun 22 15:26:10 CEST 2015,A3HPMZEZHWXE9R,0.3
Mon Jun 22 15:26:12 CEST 2015,A2QH1BQA6GR48O,0.3
Mon Jun 22 15:26:59 CEST 2015,A17D6BK59S31BM,0.3
Mon Jun 22 15:27:03 CEST 2015,A2DZW712MC53IU,0.3
Mon Jun 22 15:27:16 CEST 2015,AW0XXNPFHP7XD,0.3
Mon Jun 22 15:27:22 CEST 2015,A8FUMDQFBKMXR,0.3
Mon Jun 22 15:27:31 CEST 2015,A1R2W9OYQQRZTS,0.3
Mon Jun 22 15:27:40 CEST 2015,A3HBM297ABOGJU,0.3
Mon Jun 22 15:27:42 CEST 2015,A2HGRSPR50ENHL,0.3
Mon Jun 22 15:28:07 CEST 2015,A25XF7JNDKL995,0.3
Mon Jun 22 15:28:22 CEST 2015,A18K6NZD6RN2RB,0.3
Mon Jun 22 15:29:08 CEST 2015,A1EKA4MZJ6A2MD,0.3
Mon Jun 22 15:29:17 CEST 2015,A1AHDDD2BRFT6G,0.3
Mon Jun 22 15:29:58 CEST 2015,AZ38576J29BC8,0.3
Mon Jun 22 15:29:59 CEST 2015,AM7MKQKO9HWLR,0.3
Mon Jun 22 15:30:02 CEST 2015,A1ADGLKC2F1CHS,0.3
Mon Jun 22 15:30:29 CEST 2015,A167ZMF9JA4564,0.3
Mon Jun 22 15:31:38 CEST 2015,AERHI5E8GHVGA,0.3
Mon Jun 22 15:31:59 CEST 2015,AMYL772G8IIQX,0.3
Mon Jun 22 15:32:02 CEST 2015,A1XLCEQHE0LI0R,0.3
Mon Jun 22 15:32:12 CEST 2015,A2CAR48G9X397V,0.3
Mon Jun 22 15:32:45 CEST 2015,A1PTYKTGNRL1V9,0.3
Mon Jun 22 15:32:46 CEST 2015,A27LGC4MU1R7PQ,0.3
Mon Jun 22 15:32:49 CEST 2015,AWFQ7OX0UPSM5,0.3
Mon Jun 22 15:33:16 CEST 2015,A1VNYP58BTF4HX,0.3
Mon Jun 22 15:33:25 CEST 2015,A3NF9B2NLCLZWT,0.3
Mon Jun 22 15:33:56 CEST 2015,A1F22YDRUUIZS7,0.3
Mon Jun 22 15:34:10 CEST 2015,A1RHQEWFCONEP8,0.3
Mon Jun 22 15:34:36 CEST 2015,AO8SNKD5UFFIO,0.3
Mon Jun 22 15:34:54 CEST 2015,A3Q0IDBDIUIKJJ,0.3
Mon Jun 22 15:35:26 CEST 2015,A3JUNOSKEFAQ17,0.3
Mon Jun 22 15:35:32 CEST 2015,A4HVT304456IN,0.3
Mon Jun 22 15:35:39 CEST 2015,A1WJQFUJFDCST5,0.3
Mon Jun 22 15:35:44 CEST 2015,A1TGZ063G5UKEC,0.3
Mon Jun 22 15:35:49 CEST 2015,AQZ2LK079FAY6,0.3
Mon Jun 22 15:36:25 CEST 2015,A2V9BNWEZUDTT6,0.3
Mon Jun 22 15:36:48 CEST 2015,A2WJZD372YQK9M,0.3
Mon Jun 22 15:36:50 CEST 2015,A3NB6NWQE1YXXI,0.3
Mon Jun 22 15:37:44 CEST 2015,AGSJDRTI0DUWU,0.3
Mon Jun 22 15:37:47 CEST 2015,A1SR2BVEYAR7EH,0.3
Mon Jun 22 15:37:57 CEST 2015,A3TK7HVFEKB00R,0.3
Mon Jun 22 15:38:19 CEST 2015,A3UJO2A7THUZTV,0.3
Mon Jun 22 15:38:37 CEST 2015,A1UE7E35PUGZLT,0.3
Mon Jun 22 15:39:00 CEST 2015,A3TN7C5B4Q1DJ5,0.3
Mon Jun 22 15:39:03 CEST 2015,A31AG5Q0S5OI5V,0.3
Mon Jun 22 15:39:10 CEST 2015,A34ZULY6WMWR0D,0.3
Mon Jun 22 15:39:19 CEST 2015,AA5OOUN82FYES,0.3
Mon Jun 22 15:39:20 CEST 2015,A173MXK429XAZQ,0.3
Mon Jun 22 15:39:34 CEST 2015,AXKOGM7607GC8,0.3
Mon Jun 22 15:39:39 CEST 2015,AX7BNZWNIPKXP,0.3
Mon Jun 22 15:39:45 CEST 2015,AQHDSGTHPYH6O,0.3
Mon Jun 22 15:39:50 CEST 2015,A25BHEBB0TNPD6,0.3
Mon Jun 22 15:41:09 CEST 2015,A3T39UXTOMLX7E,0.3
Mon Jun 22 15:41:25 CEST 2015,AXO22N46CSNVT,0.3
Mon Jun 22 15:44:24 CEST 2015,AUVC78LEL0T6L,0.3
Mon Jun 22 15:44:54 CEST 2015,A1S6C6EN8MPKC3,0.3
Mon Jun 22 15:54:43 CEST 2015,A1R3W25JDAUQ09,0.3
Mon Jun 22 15:55:59 CEST 2015,A3HNEYFOIJWPH1,0.3
Mon Jun 22 15:58:49 CEST 2015,A1E0GR2W1GJO0E,0.3
,total paid to workers:,=SUM(c2:c251)
,10% paid to Amazon:,=.1*c252
,total:,=SUM(c252:c253
