workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
13,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3X87C8JFV6CIGVAAEV78H0NGEN2QST,13,Approved,Tue Jun 23 07:22:28 CEST 2015,Mon Jun 22 14:38:51 CEST 2015,Mon Jun 22 14:42:28 CEST 2015,Mon Jun 22 17:53:14 CEST 2015,,,,,[],{},3.5750166666666665
14,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3YT88D1N08ZSLBR0BBMAD63VN1C3KN,14,Approved,Tue Jun 23 07:22:40 CEST 2015,Mon Jun 22 14:40:31 CEST 2015,Mon Jun 22 14:42:40 CEST 2015,Mon Jun 22 17:53:14 CEST 2015,,,,,[],{},2.0994166666666665
15,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3Y5140Z9DXH8M56Z96Y5DTRJ0TEIP2,15,Approved,Tue Jun 23 07:22:46 CEST 2015,Mon Jun 22 14:38:45 CEST 2015,Mon Jun 22 14:42:46 CEST 2015,Mon Jun 22 17:53:14 CEST 2015,,,,,[],{},3.972
16,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3180JW2OT4D0O68M79ARRO12M835JG,16,Approved,Tue Jun 23 07:22:54 CEST 2015,Mon Jun 22 14:35:57 CEST 2015,Mon Jun 22 14:42:54 CEST 2015,Mon Jun 22 17:53:14 CEST 2015,,,,,[],{},1.9822333333333333
17,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3RRCEFRB7MDCA46A5CE0O8CBE7ZB4W,17,Approved,Tue Jun 23 07:22:57 CEST 2015,Mon Jun 22 14:38:58 CEST 2015,Mon Jun 22 14:42:57 CEST 2015,Mon Jun 22 17:53:14 CEST 2015,,,,,[],{},3.881283333333333
18,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,39K0FND3AHGNVKQO52E0FR95IGYAMU,18,Approved,Tue Jun 23 07:23:12 CEST 2015,Mon Jun 22 14:40:04 CEST 2015,Mon Jun 22 14:43:12 CEST 2015,Mon Jun 22 17:53:15 CEST 2015,,,,,[],{},3.0950166666666665
19,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3OJSZ2ATDSX74B7K60LUOYWTVD2578,19,Approved,Tue Jun 23 07:23:30 CEST 2015,Mon Jun 22 14:40:18 CEST 2015,Mon Jun 22 14:43:30 CEST 2015,Mon Jun 22 17:53:15 CEST 2015,,,,,[],{},3.1741166666666665
20,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3CFVK00FWLM220W0FDW9Z9SUMSIL6D,20,Approved,Tue Jun 23 07:23:44 CEST 2015,Mon Jun 22 14:41:13 CEST 2015,Mon Jun 22 14:43:44 CEST 2015,Mon Jun 22 17:53:22 CEST 2015,,,,,[],{},2.49515
21,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,33CID57104U35H9IWBYBS6GAC1GL37,21,Approved,Tue Jun 23 07:23:53 CEST 2015,Mon Jun 22 14:38:28 CEST 2015,Mon Jun 22 14:43:53 CEST 2015,Mon Jun 22 17:53:22 CEST 2015,,,,,[],{},5.38705
22,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3M1CVSFP606EGZOGXVLHW0TASHVAQH,22,Approved,Tue Jun 23 07:23:53 CEST 2015,Mon Jun 22 14:42:04 CEST 2015,Mon Jun 22 14:43:53 CEST 2015,Mon Jun 22 17:53:22 CEST 2015,,,,,[],{},1.77525
23,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3TK8OJTYM1MD8BQZ8DXOSIHD8VAVPC,23,Approved,Tue Jun 23 07:23:57 CEST 2015,Mon Jun 22 14:39:55 CEST 2015,Mon Jun 22 14:43:57 CEST 2015,Mon Jun 22 17:53:22 CEST 2015,,,,,[],{},3.9629166666666666
24,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3II4UPYCOJ8CE6RSH5CJM11GDKTDQN,24,Approved,Tue Jun 23 07:23:59 CEST 2015,Mon Jun 22 14:41:01 CEST 2015,Mon Jun 22 14:43:59 CEST 2015,Mon Jun 22 17:53:22 CEST 2015,,,,,[],{},2.9418333333333333
25,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3UNH76FOCS6OR2ORL8SGIDRCL71YMS,25,Approved,Tue Jun 23 07:24:22 CEST 2015,Mon Jun 22 14:40:57 CEST 2015,Mon Jun 22 14:44:22 CEST 2015,Mon Jun 22 17:53:23 CEST 2015,,,,,[],{},3.3873
26,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZY8KE4ISJ4Y8NRE8QCDSN7NDRWVQ3,26,Approved,Tue Jun 23 07:24:25 CEST 2015,Mon Jun 22 14:41:46 CEST 2015,Mon Jun 22 14:44:25 CEST 2015,Mon Jun 22 17:53:23 CEST 2015,,,,,[],{},2.6178666666666666
27,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3GNA64GUZE5HATCZ2ZU0OPDO03V5Q7,27,Approved,Tue Jun 23 07:24:27 CEST 2015,Mon Jun 22 14:40:41 CEST 2015,Mon Jun 22 14:44:27 CEST 2015,Mon Jun 22 17:53:23 CEST 2015,,,,,[],{},3.7051666666666665
28,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,35H6S234SA1O0BTFNQG2IKWX02I569,28,Approved,Tue Jun 23 07:24:29 CEST 2015,Mon Jun 22 14:40:04 CEST 2015,Mon Jun 22 14:44:29 CEST 2015,Mon Jun 22 17:53:23 CEST 2015,,,,,[],{},4.369033333333333
29,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3S96KQ6I9M5P6MJKY96ER6C3XRSDT1,29,Approved,Tue Jun 23 07:24:33 CEST 2015,Mon Jun 22 14:42:35 CEST 2015,Mon Jun 22 14:44:33 CEST 2015,Mon Jun 22 17:53:23 CEST 2015,,,,,[],{},1.9248333333333334
30,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3EA3QWIZ4IW6EXZ6QN7PI3SGPWZTII,30,Approved,Tue Jun 23 07:24:36 CEST 2015,Mon Jun 22 14:41:03 CEST 2015,Mon Jun 22 14:44:36 CEST 2015,Mon Jun 22 17:53:23 CEST 2015,,,,,[],{},3.5086833333333334
31,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3XCC1ODXDLC6FGAXZ673RQIKSLJQR5,31,Approved,Tue Jun 23 07:24:48 CEST 2015,Mon Jun 22 14:37:47 CEST 2015,Mon Jun 22 14:44:48 CEST 2015,Mon Jun 22 17:53:23 CEST 2015,,,,,[],{},6.968483333333333
32,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3HPZF4IVNMUBIGC08JY2FHM0RTXYCA,32,Approved,Tue Jun 23 07:25:01 CEST 2015,Mon Jun 22 14:35:57 CEST 2015,Mon Jun 22 14:45:01 CEST 2015,Mon Jun 22 17:53:24 CEST 2015,,,,,[],{},4.110633333333333
33,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,34J10VATJFZTMH7E9JDUDYHT5P0IQT,33,Approved,Tue Jun 23 07:25:16 CEST 2015,Mon Jun 22 14:42:16 CEST 2015,Mon Jun 22 14:45:16 CEST 2015,Mon Jun 22 17:53:24 CEST 2015,,,,,[],{},2.940366666666667
34,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZY8KE4ISJ4Y8NRE8QCDSN7NDRWQVY,34,Approved,Tue Jun 23 07:25:28 CEST 2015,Mon Jun 22 14:40:52 CEST 2015,Mon Jun 22 14:45:28 CEST 2015,Mon Jun 22 17:53:24 CEST 2015,,,,,[],{},4.5566
35,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3MD9PLUKKIFUEAJWTV9Z9ZPEWRFNZ8,35,Approved,Tue Jun 23 07:25:29 CEST 2015,Mon Jun 22 14:42:44 CEST 2015,Mon Jun 22 14:45:29 CEST 2015,Mon Jun 22 17:53:24 CEST 2015,,,,,[],{},2.716666666666667
36,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,33OOO72IVHMF1UD6YDB370ULCRFCTZ,36,Approved,Tue Jun 23 07:25:35 CEST 2015,Mon Jun 22 14:40:36 CEST 2015,Mon Jun 22 14:45:35 CEST 2015,Mon Jun 22 17:53:24 CEST 2015,,,,,[],{},4.9473
