workerid,american,age,language,comments
92,Yes,32,English,I thought this was interesting
93,Yes,29,English,
94,Yes,32,English,
95,Yes,28,english,
96,Yes,22,English,
97,Yes,24,english,"My opinion on ""yes"" and ""no"" changed midway through the survey when I started to notice a pattern in how each responses were structured."
98,No,37,Russian,Interesting concept. Enjoyable HIT. Are you sure?:) Thank you!
99,Yes,29,english,
100,Yes,34,English,
101,Yes,48,English,
102,Yes,24,English,
103,Yes,22,English,"No comments, thanks!"
104,Yes,22,English,
105,Yes,34,English,
106,Yes,34,English,
107,Yes,25,English,
108,Yes,38,english,no comments
109,Yes,23,English,
110,Yes,30,English,
111,Yes,32,English,
112,Yes,20,English,
113,Yes,30,English,
114,Yes,25,English,
115,Yes,32,English,
116,Yes,44,English,
117,Yes,26,english,I have no comments.
118,Yes,40,English,
119,Yes,30,english,
120,Yes,40,English,
121,Yes,25,English,
122,Yes,32,English,
123,Yes,35,English,
124,Yes,31,english,
125,Yes,47,English,
126,Yes,31,English,No comments
127,Yes,32,english,
128,Yes,41,English,Fun experiment thanks for providing it.
129,Yes,21,English,
130,Yes,35,English,
131,Yes,77,English,
132,Yes,27,English,
133,Yes,26,english,no comments
134,Yes,28,english,
135,Yes,22,English,"Definitely a challenge, I thought. I really enjoyed this hit though."
136,Yes,31,English,
137,Yes,26,English,No comments.
138,Yes,35,English ,
139,Yes,30,english,
140,Yes,25,English,
141,Yes,57,english,"I have no comments, thank you"
142,Yes,42,English,none
143,NA,26,English,thank you for the study
144,Yes,23,Cantonese,
145,Yes,33,English,
146,No,28,Spanish,
147,Yes,31,English,n/a
148,Yes,28,English,
149,Yes,27,English,
150,Yes,27,english,n/a
151,Yes,32,English,thank you
152,Yes,27,English,
153,Yes,48,English,
154,Yes,31,english,None
155,Yes,23,English,
156,Yes,37,English,Thanks
157,Yes,31,English,
158,Yes,46,english,
159,Yes,30,english,
160,Yes,34,English,
161,Yes,25,English,"As an English teacher, some of these would pretty tricky even for me!"
162,Yes,30,English,Language is an interesting thing.
163,Yes,34,English,
164,Yes,29,English,
165,Yes,20,English,
166,Yes,23,English,
167,Yes,25,English,
168,Yes,38,english,
169,Yes,30,english,
170,Yes,29,english,
171,Yes,49,English,
172,Yes,25,English,
173,Yes,31,English,
174,Yes,62,english,
175,Yes,22,english,
176,Yes,41,English,
177,Yes,28,English,None
178,Yes,23,english,
179,Yes,42,English,
180,Yes,61,English,
181,Yes,21,English,
182,Yes,47,english,none
183,Yes,32,English,Very good engaging study enjoyed it much and thanks in advance keep up the work 
184,Yes,53,English,This was really interesting to look at statements in a different way than I normally do.
185,Yes,25,English,
186,Yes,27,English,This made no sense to me. It was basically the same question over and over.
187,Yes,41,English,
188,Yes,27,english,
189,Yes,26,English,
190,Yes,39,english,
191,Yes,30,English,
192,Yes,28,English,
193,Yes,25,English,I enjoyed the study.
194,Yes,23,English,
195,NA,25,Vietnamese,
196,Yes,29,English,
197,Yes,30,English,
198,Yes,29,English,
199,Yes,36,English,
200,Yes,54,English,
201,Yes,24,English,
202,Yes,31,english,
203,Yes,25,English,"Very interesting, I enjoyed it!"
204,Yes,33,English,
205,Yes,35,English,
206,Yes,20,English,
207,Yes,21,English,
208,Yes,24,English,
209,Yes,23,English,
210,Yes,51,english,
211,Yes,39,english,
212,Yes,27,english,
213,Yes,25,English,n/a
214,Yes,43,English,
215,Yes,22,English,
216,Yes,60,English,
217,Yes,25,English,"Very weird, I&quotecharm afraid to get a rejection because all of the questions were the almost alike..."
218,Yes,18,English,
219,Yes,23,English,
220,Yes,32,English,
221,Yes,25,English,
222,Yes,35,English,"Often when my husband answers my questions of him, he often answers incorrectly.  I know what he really intended to say because we have been together for almost 10 years now.  However, sometimes its annoying.  lol"
223,Yes,41,English,
224,Yes,20,English,
225,Yes,28,English,
226,Yes,25,English and Spanish,
227,Yes,23,english,
228,Yes,23,English,
229,Yes,29,English,Thank you.
230,Yes,38,English,
231,Yes,28,English,
232,Yes,29,English,
233,Yes,31,English,
234,Yes,26,english,
235,Yes,32,English,
236,Yes,59,English,
237,Yes,27,english,
238,Yes,30,english,
239,Yes,43,English,
240,Yes,26,English,
241,Yes,38,English,no comment
242,Yes,25,English,
243,Yes,34,english,
244,Yes,28,English,
245,Yes,24,english,
246,Yes,47,english,
247,Yes,25,english,
248,Yes,31,English,
249,Yes,27,English,none!
